Player Name,Team Name,Playing Role,Batting Style,Batting Position,Runs_Scored,Batting Average,Strike_rate,Total_hundreds,Total_fifties,Fours_Scored,Sixes_scored,Bowling Style,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Strike Rate,Bowling Average,Fours_Conceded,Sixes_Conceded
Hayden Walsh,West Indies,Bowler,Left hand Bat,8,14,7.0,66.67,0,0,1,0,Legbreak Googly,137,4,8.6,24.0,34.25,18,3
Hazratullah Zazai,Afghanistan,Opening Batter,Left hand Bat,2,519,43.25,162.7,1,2,46,37,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Heino Kuhn,South Africa,Wicketkeeper Batter,Right hand Bat,5,44,11.0,115.79,0,0,3,2,,0,0,0.0,0.0,0.0,0,0
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,5,156,22.29,145.79,0,1,8,11,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Henry Davids,South Africa,Top order Batter,Right hand Bat,2,161,17.89,120.15,0,2,18,4,Right arm Medium fast,13,1,6.5,12.0,13.0,1,0
Henry Nicholls,New Zealand,Top order Batter,Left hand Bat,4,19,4.75,67.86,0,0,2,0,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
Herschelle Gibbs,South Africa,Opening Batter,Right hand Bat,2,41,13.67,100.0,0,0,2,2,Right arm Bowler,0,0,0.0,0.0,0.0,0,0
Hussain Talat,Pakistan,Allrounder,Left hand Bat,3,371,28.54,120.06,0,2,35,5,Right arm Medium fast,54,4,9.6,9.0,13.5,5,0
Ian Bell,England,Top order Batter,Right hand Bat,2,79,26.33,123.44,0,0,9,1,Right arm Medium,0,0,0.0,0.0,0.0,0,0
Ian Butler,New Zealand,Bowler,Right hand Bat,9,1,0.0,100.0,0,0,0,0,Right arm Fast,149,7,7.7,16.71,21.29,17,4
Ibrahim Zadran,Afghanistan,Opening Batter,Right hand Bat,4,14,4.67,53.85,0,0,0,1,Right arm Medium fast,0,0,0.0,0.0,0.0,0,0
Iftikhar Ahmed,Pakistan,Middle order Batter,Right hand Bat,6,149,74.5,144.66,0,1,14,4,Right arm Offbreak,7,0,7.0,0.0,0.0,1,0
Imad Wasim,Pakistan,Allrounder,Left hand Bat,7,261,13.74,145.81,0,0,28,7,Slow Left arm Orthodox,877,42,6.0,21.0,20.88,59,21
Imam-ul-Haq,Pakistan,Top order Batter,Left hand Bat,2,21,10.5,84.0,0,0,2,0,,0,0,0.0,0.0,0.0,0,0
Imran Farhat,Pakistan,Top order Batter,Left hand Bat,2,76,10.86,108.57,0,0,14,0,Legbreak,0,0,0.0,0.0,0.0,0,0
Imran Khan,Pakistan,Bowler,Right hand Bat,11,0,0.0,0.0,0,0,0,0,Right arm Medium fast,106,2,8.8,36.0,53.0,5,5
Imran Nazir,Pakistan,Opening Batter,Right hand Bat,2,182,15.17,115.19,0,1,28,3,Legbreak,0,0,0.0,0.0,0.0,0,0
Imran Tahir,South Africa,Bowler,Right hand Bat,10,19,19.0,105.56,0,0,1,1,Legbreak Googly,859,61,6.6,12.87,14.08,34,33
Imrul Kayes,Bangladesh,Opening Batter,Left hand Bat,2,119,9.15,88.81,0,0,14,3,Slow Left arm Orthodox,0,0,0.0,0.0,0.0,0,0
Irfan Pathan,India,Allrounder,Left hand Bat,2,39,19.5,102.63,0,0,3,1,Left arm Medium fast,223,12,8.6,13.0,18.58,30,5
Ish Sodhi,New Zealand,Bowler,Right hand Bat,10,59,14.75,105.36,0,0,4,3,Legbreak,1131,47,8.2,17.68,24.06,59,60
Ishant Sharma,India,Bowler,Right hand Bat,10,0,0.0,0.0,0,0,0,0,Right arm Fast medium,109,2,9.1,36.0,54.5,13,4
Isuru Udana,Sri Lanka,Allrounder,Right hand Bat,8,225,25.0,153.06,0,1,15,13,Left arm Medium fast,561,18,8.5,22.17,31.17,45,16
Izatullah Dawlatzai,Afghanistan,,,11,0,0.0,0.0,0,0,0,0,,134,6,11.2,12.0,22.33,12,8
JJ Smuts,South Africa,Batting Allrounder,Right hand Bat,1,126,15.75,110.53,0,0,14,5,Slow Left arm Orthodox,101,1,8.1,76.0,101.0,6,5
Jack Wildermuth,Australia,Allrounder,Right hand Bat,8,1,0.0,100.0,0,0,0,0,Right arm Medium fast,32,1,10.7,18.0,32.0,3,0
Jacob Mulder,Ireland,Bowler,Right hand Bat,10,6,3.0,54.55,0,0,0,0,Legbreak,192,12,6.6,14.5,16.0,10,10
Jacob Oram,New Zealand,Allrounder,Left hand Bat,7,87,9.67,135.94,0,0,8,4,Right arm Fast medium,370,12,8.7,21.5,30.83,38,11
Jacques Kallis,South Africa,Allrounder,Right hand Bat,3,365,36.5,115.51,0,3,21,14,Right arm Fast medium,213,9,6.7,21.33,23.67,17,5
Jade Dernbach,England,Bowler,Right hand Bat,11,24,4.8,114.29,0,0,3,0,Right arm Fast medium,1008,38,8.8,18.16,26.53,103,32
Jahurul Islam,Bangladesh,Middle order Batter,Right hand Bat,6,31,10.33,134.78,0,0,3,1,Right arm Offbreak,0,0,0.0,0.0,0.0,0,0
James Faulkner,Australia,Bowling Allrounder,Right hand Bat,7,159,14.45,115.22,0,0,7,5,Left arm Fast medium,684,36,8.0,14.31,19.0,53,24
James Franklin,New Zealand,Allrounder,Left hand Bat,5,383,22.53,122.36,0,2,25,19,Left arm Medium,274,16,8.0,12.88,17.12,20,11
James Hopes,Australia,Allrounder,Right hand Bat,4,30,30.0,107.14,0,0,3,0,Right arm Medium,8,0,8.0,0.0,0.0,1,0
