Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Oct 11, 2010",ODI # 3054
Kenya vs Afghanistan,Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),"Oct 11, 2010",ODI # 3055
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,9 runs,Mirpur,"Oct 14, 2010",ODI # 3056
South Africa vs Zimbabwe,South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,"Oct 15, 2010",ODI # 3057
Bangladesh vs New Zealand,Bangladesh,New Zealand,Bangladesh,3 runs,Mirpur,"Oct 17, 2010",ODI # 3058
South Africa vs Zimbabwe,South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,"Oct 17, 2010",ODI # 3059
India vs Australia,India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060
South Africa vs Zimbabwe,South Africa,Zimbabwe,South Africa,272 runs,Benoni,"Oct 22, 2010",ODI # 3061
Pakistan vs South Africa,Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,"Oct 29, 2010",ODI # 3062
Pakistan vs South Africa,Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,"Oct 31, 2010",ODI # 3063
Pakistan vs South Africa,Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),"Nov 2, 2010",ODI # 3064
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,"Nov 3, 2010",ODI # 3065
Australia vs Sri Lanka,Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,"Nov 5, 2010",ODI # 3066
Pakistan vs South Africa,Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),"Nov 5, 2010",ODI # 3067
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,8 wickets,Brisbane,"Nov 7, 2010",ODI # 3068
Pakistan vs South Africa,Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),"Nov 8, 2010",ODI # 3069
India vs New Zealand,India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010",ODI # 3070
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Zimbabwe,9 runs,Mirpur,"Dec 1, 2010",ODI # 3071
India vs New Zealand,India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010",ODI # 3072
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Mirpur,"Dec 3, 2010",ODI # 3073
India vs New Zealand,India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010",ODI # 3074
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,65 runs,Mirpur,"Dec 6, 2010",ODI # 3075
India vs New Zealand,India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010",ODI # 3076
India vs New Zealand,India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010",ODI # 3077
Bangladesh vs Zimbabwe,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,"Dec 12, 2010",ODI # 3078
South Africa vs India,South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011",ODI # 3079
South Africa vs India,South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011",ODI # 3080
Australia vs England,Australia,England,Australia,6 wickets,Melbourne,"Jan 16, 2011",ODI # 3081
South Africa vs India,South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011",ODI # 3082
Australia vs England,Australia,England,Australia,46 runs,Hobart,"Jan 21, 2011",ODI # 3083
South Africa vs India,South Africa,India,South Africa,48 runs,Gqeberha,"Jan 21, 2011",ODI # 3084
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,9 wickets,Wellington,"Jan 22, 2011",ODI # 3085
Australia vs England,Australia,England,Australia,4 wickets,Sydney,"Jan 23, 2011",ODI # 3086
South Africa vs India,South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011",ODI # 3087
Australia vs England,Australia,England,England,21 runs,Adelaide,"Jan 26, 2011",ODI # 3089
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,43 runs,Christchurch,"Jan 29, 2011",ODI # 3090
Australia vs England,Australia,England,Australia,51 runs,Brisbane,"Jan 30, 2011",ODI # 3091
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,2 wickets,Napier,"Feb 1, 2011",ODI # 3093
Australia vs England,Australia,England,Australia,2 wickets,Sydney,"Feb 2, 2011",ODI # 3094
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,41 runs,Hamilton,"Feb 3, 2011",ODI # 3095
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (SSC),"Feb 3, 2011",ODI # 3096
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,57 runs,Auckland,"Feb 5, 2011",ODI # 3097
Australia vs England,Australia,England,Australia,57 runs,Perth,"Feb 6, 2011",ODI # 3098
Sri Lanka vs West Indies,Sri Lanka,West Indies,Sri Lanka,26 runs,Colombo (SSC),"Feb 6, 2011",ODI # 3099
Bangladesh vs India,Bangladesh,India,India,87 runs,Mirpur,"Feb 19, 2011",ODI # 3100
Kenya vs New Zealand,Kenya,New Zealand,New Zealand,10 wickets,Chennai,"Feb 20, 2011",ODI # 3101
Sri Lanka vs Canada,Sri Lanka,Canada,Sri Lanka,210 runs,Hambantota,"Feb 20, 2011",ODI # 3102
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011",ODI # 3103
England vs Netherlands,England,Netherlands,England,6 wickets,Nagpur,"Feb 22, 2011",ODI # 3104
Kenya vs Pakistan,Kenya,Pakistan,Pakistan,205 runs,Hambantota,"Feb 23, 2011",ODI # 3105
South Africa vs West Indies,South Africa,West Indies,South Africa,7 wickets,Delhi,"Feb 24, 2011",ODI # 3106
Australia vs New Zealand,Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011",ODI # 3107
Bangladesh vs Ireland,Bangladesh,Ireland,Bangladesh,27 runs,Mirpur,"Feb 25, 2011",ODI # 3108
Sri Lanka vs Pakistan,Sri Lanka,Pakistan,Pakistan,11 runs,Colombo (RPS),"Feb 26, 2011",ODI # 3109
India vs England,India,England,tied,,Bengaluru,"Feb 27, 2011",ODI # 3110
Canada vs Zimbabwe,Canada,Zimbabwe,Zimbabwe,175 runs,Nagpur,"Feb 28, 2011",ODI # 3111
Netherlands vs West Indies,Netherlands,West Indies,West Indies,215 runs,Delhi,"Feb 28, 2011",ODI # 3112
Sri Lanka vs Kenya,Sri Lanka,Kenya,Sri Lanka,9 wickets,Colombo (RPS),"Mar 1, 2011",ODI # 3113
England vs Ireland,England,Ireland,Ireland,3 wickets,Bengaluru,"Mar 2, 2011",ODI # 3114
Netherlands vs South Africa,Netherlands,South Africa,South Africa,231 runs,Mohali,"Mar 3, 2011",ODI # 3115
Canada vs Pakistan,Canada,Pakistan,Pakistan,46 runs,Colombo (RPS),"Mar 3, 2011",ODI # 3116
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,10 wickets,Ahmedabad,"Mar 4, 2011",ODI # 3117
Bangladesh vs West Indies,Bangladesh,West Indies,West Indies,9 wickets,Mirpur,"Mar 4, 2011",ODI # 3118
England vs South Africa,England,South Africa,England,6 runs,Chennai,"Mar 6, 2011",ODI # 3120
India vs Ireland,India,Ireland,India,5 wickets,Bengaluru,"Mar 6, 2011",ODI # 3121
Canada vs Kenya,Canada,Kenya,Canada,5 wickets,Delhi,"Mar 7, 2011",ODI # 3122
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,110 runs,Pallekele,"Mar 8, 2011",ODI # 3123
India vs Netherlands,India,Netherlands,India,5 wickets,Delhi,"Mar 9, 2011",ODI # 3124
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,139 runs,Pallekele,"Mar 10, 2011",ODI # 3125
Ireland vs West Indies,Ireland,West Indies,West Indies,44 runs,Mohali,"Mar 11, 2011",ODI # 3126
Bangladesh vs England,Bangladesh,England,Bangladesh,2 wickets,Chattogram,"Mar 11, 2011",ODI # 3127
India vs South Africa,India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128
Canada vs New Zealand,Canada,New Zealand,New Zealand,97 runs,Wankhede,"Mar 13, 2011",ODI # 3129
Australia vs Kenya,Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011",ODI # 3130
Bangladesh vs Netherlands,Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,"Mar 14, 2011",ODI # 3131
Pakistan vs Zimbabwe,Pakistan,Zimbabwe,Pakistan,7 wickets,Pallekele,"Mar 14, 2011",ODI # 3132
Ireland vs South Africa,Ireland,South Africa,South Africa,131 runs,Eden Gardens,"Mar 15, 2011",ODI # 3133
Australia vs Canada,Australia,Canada,Australia,7 wickets,Bengaluru,"Mar 16, 2011",ODI # 3134
England vs West Indies,England,West Indies,England,18 runs,Chennai,"Mar 17, 2011",ODI # 3135
Ireland vs Netherlands,Ireland,Netherlands,Ireland,6 wickets,Eden Gardens,"Mar 18, 2011",ODI # 3136
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,112 runs,Wankhede,"Mar 18, 2011",ODI # 3137
Bangladesh vs South Africa,Bangladesh,South Africa,South Africa,206 runs,Mirpur,"Mar 19, 2011",ODI # 3138
Australia vs Pakistan,Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2011",ODI # 3139
Kenya vs Zimbabwe,Kenya,Zimbabwe,Zimbabwe,161 runs,Eden Gardens,"Mar 20, 2011",ODI # 3140
India vs West Indies,India,West Indies,India,80 runs,Chennai,"Mar 20, 2011",ODI # 3141
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,10 wickets,Mirpur,"Mar 23, 2011",ODI # 3142
India vs Australia,India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143
New Zealand vs South Africa,New Zealand,South Africa,New Zealand,49 runs,Mirpur,"Mar 25, 2011",ODI # 3144
Sri Lanka vs England,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS),"Mar 26, 2011",ODI # 3145
Sri Lanka vs New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Colombo (RPS),"Mar 29, 2011",ODI # 3146
India vs Pakistan,India,Pakistan,India,29 runs,Mohali,"Mar 30, 2011",ODI # 3147
India vs Sri Lanka,India,Sri Lanka,India,6 wickets,Wankhede,"Apr 2, 2011",ODI # 3148
Bangladesh vs Australia,Bangladesh,Australia,Australia,60 runs,Mirpur,"Apr 9, 2011",ODI # 3149
Bangladesh vs Australia,Bangladesh,Australia,Australia,9 wickets,Mirpur,"Apr 11, 2011",ODI # 3150
Bangladesh vs Australia,Bangladesh,Australia,Australia,66 runs,Mirpur,"Apr 13, 2011",ODI # 3151
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,8 wickets,Gros Islet,"Apr 23, 2011",ODI # 3152
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,7 wickets,Gros Islet,"Apr 25, 2011",ODI # 3153
West Indies vs Pakistan,West Indies,Pakistan,Pakistan,3 wickets,Bridgetown,"Apr 28, 2011",ODI # 3154
West Indies vs Pakistan,West Indies,Pakistan,West Indies,1 run,Bridgetown,"May 2, 2011",ODI # 3155
West Indies vs Pakistan,West Indies,Pakistan,West Indies,10 wickets,Providence,"May 5, 2011",ODI # 3156
Ireland vs Pakistan,Ireland,Pakistan,Pakistan,7 wickets,Belfast,"May 28, 2011",ODI # 3157
Ireland vs Pakistan,Ireland,Pakistan,Pakistan,5 wickets,Belfast,"May 30, 2011",ODI # 3158
West Indies vs India,West Indies,India,India,4 wickets,Port of Spain,"Jun 6, 2011",ODI # 3159
West Indies vs India,West Indies,India,India,7 wickets,Port of Spain,"Jun 8, 2011",ODI # 3160
West Indies vs India,West Indies,India,India,3 wickets,North Sound,"Jun 11, 2011",ODI # 3161
West Indies vs India,West Indies,India,West Indies,103 runs,North Sound,"Jun 13, 2011",ODI # 3162
West Indies vs India,West Indies,India,West Indies,7 wickets,Kingston,"Jun 16, 2011",ODI # 3163
Scotland vs Netherlands,Scotland,Netherlands,Scotland,15 runs,Aberdeen,"Jun 28, 2011",ODI # 3164
England vs Sri Lanka,England,Sri Lanka,England,110 runs,The Oval,"Jun 28, 2011",ODI # 3165
Scotland vs Netherlands,Scotland,Netherlands,Scotland,5 wickets,Aberdeen,"Jun 29, 2011",ODI # 3166
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,69 runs,Leeds,"Jul 1, 2011",ODI # 3167
England vs Sri Lanka,England,Sri Lanka,Sri Lanka,6 wickets,Lord's,"Jul 3, 2011",ODI # 3168
England vs Sri Lanka,England,Sri Lanka,England,10 wickets,Nottingham,"Jul 6, 2011",ODI # 3169
England vs Sri Lanka,England,Sri Lanka,England,16 runs,Manchester,"Jul 9, 2011",ODI # 3170
Scotland vs Ireland,Scotland,Ireland,Scotland,5 wickets,Edinburgh,"Jul 12, 2011",ODI # 3171
Scotland vs Sri Lanka,Scotland,Sri Lanka,Sri Lanka,183 runs,Edinburgh,"Jul 13, 2011",ODI # 3172
Canada vs Afghanistan,Canada,Afghanistan,Afghanistan,2 wickets,King City (NW),"Aug 7, 2011",ODI # 3173
Canada vs Afghanistan,Canada,Afghanistan,Afghanistan,17 runs,Toronto,"Aug 9, 2011",ODI # 3174
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,7 wickets,Pallekele,"Aug 10, 2011",ODI # 3175
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,"Aug 12, 2011",ODI # 3176
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 14, 2011",ODI # 3177
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,8 wickets,Hambantota,"Aug 14, 2011",ODI # 3178
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,"Aug 16, 2011",ODI # 3179
