teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Pakistan,10,Umar Gul,not out,1,7,21,0,0,14.28,2945
Pakistan,11,Saeed Ajmal,c †Haddin b McKay,3,11,9,0,0,27.27,2945
Australia,1,Shane Watson,b Mohammad Asif,33,37,57,5,0,89.18,2946
Australia,2,Shaun Marsh,st †Kamran Akmal b Saeed Ajmal,83,113,131,7,0,73.45,2946
Australia,3,Ricky Ponting (c),lbw b Naved-ul-Hasan,0,3,3,0,0,0.00,2946
Australia,4,Michael Clarke,b Umar Gul,80,90,150,3,0,88.88,2946
Australia,5,Cameron White,c †Kamran Akmal b Naved-ul-Hasan,28,31,40,3,0,90.32,2946
Australia,6,Michael Hussey,c Younis Khan b Umar Gul,49,28,37,5,1,175.00,2946
Australia,7,Brad Haddin †,not out,1,1,4,0,0,100.00,2946
Australia,8,Nathan Hauritz,not out,0,1,1,0,0,0.00,2946
Pakistan,1,Salman Butt,lbw b McKay,34,39,45,5,0,87.17,2946
Pakistan,2,Kamran Akmal †,lbw b Harris,1,2,8,0,0,50.00,2946
Pakistan,3,Younis Khan,c †Haddin b McKay,12,31,49,2,0,38.70,2946
Pakistan,4,Mohammad Yousuf (c),b Watson,11,8,6,2,0,137.50,2946
Pakistan,5,Umar Akmal,c †Haddin b Harris,59,76,78,3,0,77.63,2946
Pakistan,6,Fawad Alam,b McKay,33,52,95,1,0,63.46,2946
Pakistan,7,Shahid Afridi,b Harris,40,29,49,4,1,137.93,2946
Pakistan,8,Naved-ul-Hasan,c White b Harris,33,28,38,3,1,117.85,2946
Pakistan,9,Umar Gul,c †Haddin b Harris,0,2,1,0,0,0.00,2946
Pakistan,10,Saeed Ajmal,not out,8,10,16,1,0,80.00,2946
Pakistan,11,Mohammad Asif,c †Haddin b Hauritz,1,9,9,0,0,11.11,2946
Australia,1,Shaun Marsh,c †Kamran Akmal b Mohammad Asif,12,27,28,1,0,44.44,2947
Australia,2,Brad Haddin †,b Naved-ul-Hasan,32,26,51,4,0,123.07,2947
Australia,3,Ricky Ponting (c),c †Kamran Akmal b Shahid Afridi,30,41,64,1,1,73.17,2947
Australia,4,Michael Clarke,run out (Fawad Alam),10,11,15,0,0,90.90,2947
Australia,5,Cameron White,c Mohammad Asif b Saeed Ajmal,44,63,75,3,1,69.84,2947
Australia,6,Michael Hussey,c Mohammad Yousuf b Saeed Ajmal,67,75,115,4,0,89.33,2947
Australia,7,James Hopes,b Mohammad Asif,16,16,22,2,0,100.00,2947
Australia,8,Nathan Hauritz,not out,53,39,45,1,4,135.89,2947
Australia,9,Ryan Harris,c Shahid Afridi b Mohammad Asif,4,3,2,0,0,133.33,2947
Australia,10,Clint McKay,not out,0,0,1,0,0,-,2947
Pakistan,1,Salman Butt,c White b Harris,0,4,2,0,0,0.00,2947
Pakistan,2,Kamran Akmal †,c †Haddin b Siddle,17,25,42,2,0,68.00,2947
Pakistan,3,Younis Khan,c †Haddin b Harris,6,9,13,0,0,66.66,2947
Pakistan,4,Mohammad Yousuf (c),c †Haddin b Siddle,10,20,25,2,0,50.00,2947
Pakistan,5,Umar Akmal,b Harris,38,60,84,2,1,63.33,2947
Pakistan,6,Fawad Alam,run out (Hauritz),21,52,70,0,0,40.38,2947
Pakistan,7,Shahid Afridi,c Hauritz b McKay,29,10,20,3,2,290.00,2947
